id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
5426,Solana,SOL,solana,669,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,459695597.293624,577255645.489618,True,,5,,,,2024-06-01T20:36:00.000Z,167.401077923383,1089342570.95351,-55.5545,0.14027204,0.76907059,0.21465323,22.02066258,-9.73718448,28.54178869,76953538503.586,3.038,96633217292.32,,2024-06-01T20:36:00.000Z,,,,,,2024-06-01 22:38:38.408514
3408,USDC,USDC,usd-coin,19521,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,32368714803.3527,32368714803.3527,False,,6,,,,2024-06-01T20:36:00.000Z,0.999924395618954,2724458121.6042,-56.7372,-0.00571576,-0.02663715,-0.02009493,-0.01660254,-0.01373207,-0.00559702,32366267586.7047,1.2778,32366267586.7,,2024-06-01T20:36:00.000Z,1027,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-06-01 22:38:38.408514
52,XRP,XRP,xrp,1333,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000,55450358947,99987572899,False,,7,,,,2024-06-01T20:38:00.000Z,0.51903790766199,580999016.191606,-52.0774,0.12911864,0.31520132,-3.7498664,-0.58500582,-12.41316269,-17.57086746,28780838286.9572,1.1359,51903790766.2,,2024-06-01T20:38:00.000Z,,,,,,2024-06-01 22:38:38.408514
74,Dogecoin,DOGE,dogecoin,975,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,144533876383.705,144533876383.705,True,,8,,,,2024-06-01T20:38:00.000Z,0.160797742057772,533835091.264419,-43.5867,0.35760154,0.97856769,-5.02900558,22.00913401,-13.22351807,4.4972372,23240720973.3569,0.9173,23240720973.36,,2024-06-01T20:38:00.000Z,,,,,,2024-06-01 22:38:38.408514
2010,Cardano,ADA,cardano,1189,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000,35701215654.157,36925434173.444,False,,9,,,,2024-06-01T20:36:00.000Z,0.449485067560795,174460888.675023,-39.8766,0.15857887,0.069556,-2.24223627,-1.28506839,-23.3861006,-38.26771614,16047163330.3113,0.6335,20226828040.24,,2024-06-01T20:36:00.000Z,,,,,,2024-06-01 22:38:38.408514
11419,Toncoin,TON,toncoin,382,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2412334807.8359,5107166525.37098,True,,10,3414166606,21477656281.0525,,2024-06-01T20:36:00.000Z,6.2907463986403,127561543.414554,-8.9542,0.2824906,-0.97530202,-1.46475448,22.61228505,28.56513731,135.27777439,15175386504.7084,0.5991,32127889426.73,,2024-06-01T20:36:00.000Z,,,,,,2024-06-01 22:38:38.408514
5994,Shiba Inu,SHIB,shiba-inu,828,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589271826076168,589519963147025,False,,11,,,,2024-06-01T20:36:00.000Z,2.53490990565964E-05,278463631.768167,-56.1731,0.33169244,-0.66003958,2.25224946,10.48510089,-4.65898518,10.68852726,14937509890.4662,0.5897,14943799941.66,,2024-06-01T20:36:00.000Z,1027,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-06-01 22:38:38.408514
5805,Avalanche,AVAX,avalanche,735,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",715748719,393113090.849773,442459460.849773,False,,12,,,,2024-06-01T20:36:00.000Z,35.9450517580805,164246657.942321,-46.417,0.11598032,-0.76341947,-5.28347433,7.0672543,-24.30227785,-15.62038921,14130470397.3741,0.5578,25727624750.23,,2024-06-01T20:36:00.000Z,,,,,,2024-06-01 22:38:38.408514
1975,Chainlink,LINK,chainlink,1787,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",1000000000,587099970.452787,1000000000,False,,13,,,,2024-06-01T20:37:00.000Z,18.4714736708291,312768173.409739,-24.6751,-0.17228122,-0.51024129,6.13024554,35.60125892,2.75298211,-10.32340103,10844601646.3632,0.428,18471473670.83,,2024-06-01T20:37:00.000Z,1027,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-06-01 22:38:38.408514
6636,Polkadot,DOT,polkadot-new,774,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1437953431.36815,1437953431.36815,True,,14,1452146757.29164,10273760968.8855,,2024-06-01T20:37:00.000Z,7.07487787807807,124172946.596001,-28.6212,0.16350192,1.58419779,-3.81973024,-2.79613237,-17.97344636,-27.27741042,10173344921.293,0.4015,10173344921.29,,2024-06-01T20:37:00.000Z,,,,,,2024-06-01 22:38:38.408514
